Hips_quat,Hips_accel,Spine_quat,Spine_accel,Spine1_quat,Spine1_accel,Spine2_quat,Spine2_accel,Spine3_quat,Spine3_accel,Neck_quat,Neck_accel,Head_quat,Head_accel,RightShoulder_quat,RightShoulder_accel,RightArm_quat,RightArm_accel,RightForeArm_quat,RightForeArm_accel,RightHand_quat,RightHand_accel,LeftShoulder_quat,LeftShoulder_accel,LeftArm_quat,LeftArm_accel,LeftForeArm_quat,LeftForeArm_accel,LeftHand_quat,LeftHand_accel,RightUpLeg_quat,RightUpLeg_accel,RightLeg_quat,RightLeg_accel,RightFoot_quat,RightFoot_accel,LeftUpLeg_quat,LeftUpLeg_accel,LeftLeg_quat,LeftLeg_accel,LeftFoot_quat,LeftFoot_accel
0.654903 0.074936 0.077997 0.747932,4.252093 13.819488 3.831528,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,-0.484388 -0.448016 -0.5725 0.486716,10.098504 0.842502 2.032833,NaN NaN NaN NaN,NaN NaN NaN,-0.273336 0.289801 0.588522 0.703523,-8.687129 0.00286 9.434289,NaN NaN NaN NaN,NaN NaN NaN,-0.16234 0.602986 -0.764855 -0.158273,2.047907 -8.367889 0.949745,0.088514 0.083128 0.219983 0.967917,0.384041 2.014915 9.385103,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,0.136243 -0.007749 -0.986777 0.087454,-3.064723 2.585519 8.570672,0.093629 0.024756 -0.988435 -0.116688,-3.441216 0.435729 8.760176,NaN NaN NaN NaN,NaN NaN NaN,-0.111453 0.705486 0.202439 0.669989,-16.588112 2.631585 -0.614452,0.710777 -0.414654 -0.503039 -0.264215,-24.51717 5.464502 -17.639467,-0.022605 0.476679 0.5868 0.654165,-96.810206 34.6373 28.903465,0.034765 -0.712817 -0.128284 0.688641,9.495813 3.058229 -2.732545,-0.55036 -0.56386 -0.46646 0.401971,9.936265 0.256167 -1.262192,0.4757 0.28215 -0.824625 -0.118724,-6.967904 -4.907801 4.496564
0.637917 0.088339 0.088381 0.759899,-18.400308 32.475368 9.356346,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,-0.484484 -0.448146 -0.570624 0.488701,16.214433 0.237448 0.412118,NaN NaN NaN NaN,NaN NaN NaN,-0.277274 0.291817 0.587769 0.701776,-14.572671 -0.403061 23.788264,NaN NaN NaN NaN,NaN NaN NaN,-0.163812 0.612998 -0.756783 -0.157096,3.990781 -9.768118 3.163413,0.098322 0.08332 0.220404 0.966857,-1.304735 2.347478 5.497196,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,0.135786 -0.008933 -0.987015 0.085346,-2.967275 4.373144 9.280106,0.093453 0.033711 -0.98792 -0.118928,-4.32468 0.558478 5.610216,NaN NaN NaN NaN,NaN NaN NaN,-0.175707 0.739061 0.23007 0.608263,-107.451025 19.593434 10.128409,0.727679 -0.30435 -0.594441 -0.156508,-132.120879 -40.615415 41.450357,0.011295 0.479519 0.575831 0.662082,84.172933 23.27005 28.104496,0.033955 -0.7073 -0.132602 0.693535,4.353048 3.545693 0.674189,-0.548453 -0.57523 -0.455067 0.401528,13.223925 5.805025 0.044975,0.47818 0.282555 -0.823317 -0.116855,-7.059303 -9.606606 3.162113
0.64404 0.053467 0.093903 0.757321,-36.871328 25.003606 11.102021,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,-0.503923 -0.435737 -0.576325 0.473332,34.07952 0.082153 5.447332,NaN NaN NaN NaN,NaN NaN NaN,-0.277501 0.291179 0.588687 0.701182,-0.284423 -0.451637 2.770778,NaN NaN NaN NaN,NaN NaN NaN,-0.168817 0.647776 -0.725112 -0.161557,14.406671 -13.755001 3.980239,0.115466 0.089852 0.219499 0.96458,-7.527965 2.51542 7.621564,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,0.14945 -0.029925 -0.984918 0.08189,-6.968873 8.325285 19.885862,0.101608 0.048188 -0.985994 -0.123168,-11.140462 2.323115 7.748239,NaN NaN NaN NaN,NaN NaN NaN,-0.140934 0.652533 0.281784 0.689156,14.775833 47.37355 11.228415,0.707626 -0.397501 -0.51932 -0.267516,-42.179067 -18.80499 -20.608955,0.011383 0.519805 0.548659 0.654712,-29.270198 -2.052802 6.649694,0.033383 -0.708657 -0.141871 0.690336,16.997378 -3.06888 -2.877764,-0.531444 -0.600311 -0.419623 0.425571,11.296609 7.290415 -8.723424,0.479602 0.280512 -0.823415 -0.115251,-8.533926 -4.83674 2.4878
0.602564 -0.001317 0.066716 0.795276,4.765378 -2.934706 -2.330707,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,-0.482506 -0.418047 -0.5901 0.494174,3.166682 -4.151771 2.030367,NaN NaN NaN NaN,NaN NaN NaN,-0.283042 0.290841 0.589132 0.698729,-25.065071 -1.001106 3.351719,NaN NaN NaN NaN,NaN NaN NaN,-0.159336 0.661995 -0.710275 -0.178565,8.316214 -18.793537 -4.972925,0.127536 0.096287 0.218302 0.962708,0.126057 5.396249 12.204114,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,0.154807 -0.001813 -0.98342 0.094432,-5.952407 0.719784 16.779017,0.100522 0.052096 -0.985254 -0.128282,-0.292655 -1.296518 13.581843,NaN NaN NaN NaN,NaN NaN NaN,-0.153933 0.691311 0.292048 0.64273,-4.624116 -9.815368 -20.266225,0.616373 -0.342268 -0.625489 -0.334216,92.371066 16.803631 18.714833,0.007008 0.521183 0.548839 0.653525,-7.494223 -2.189844 -5.521029,0.053133 -0.71624 -0.113498 0.686509,12.958492 9.874355 -1.705141,-0.53665 -0.5849 -0.436864 0.423141,5.479808 8.236755 -13.200586,0.478273 0.278481 -0.824863 -0.115345,-8.081335 -5.712442 2.42947
0.598638 -0.014529 0.04795 0.799451,15.725737 -7.565463 -4.690672,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,-0.473161 -0.452976 -0.5636 0.503276,-0.739493 2.239212 -3.071126,NaN NaN NaN NaN,NaN NaN NaN,-0.2701 0.274211 0.597439 0.703506,-8.691133 -2.437969 6.342813,NaN NaN NaN NaN,NaN NaN NaN,-0.165841 0.631428 -0.735995 -0.179184,-4.49359 -15.078453 0.160109,0.125759 0.10144 0.219239 0.9622,2.416111 5.829004 12.688644,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,0.151039 0.070496 -0.97865 0.120257,4.87086 -8.432008 6.428933,0.100508 0.051021 -0.984638 -0.133354,9.77694 -3.476184 14.278165,NaN NaN NaN NaN,NaN NaN NaN,-0.178303 0.654053 0.308231 0.667395,25.071753 -45.341471 9.70711,0.687089 -0.368454 -0.569465 -0.260499,17.21485 -9.120267 -53.448682,0.008828 0.524927 0.549641 0.649822,-7.246369 4.127964 7.298043,0.025496 -0.717806 -0.127123 0.684064,7.709885 12.669327 3.697714,-0.554458 -0.568175 -0.454978 0.403421,8.754042 -0.520918 -9.742959,0.47598 0.276314 -0.826787 -0.116262,-6.949369 -4.721714 4.290329
0.638798 0.011247 0.04855 0.767759,16.466306 -0.101458 -5.996992,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,-0.469308 -0.469233 -0.553261 0.50346,8.820871 5.317903 -2.655609,NaN NaN NaN NaN,NaN NaN NaN,-0.259545 0.26278 0.603429 0.706723,-0.677086 -1.79828 6.058384,NaN NaN NaN NaN,NaN NaN NaN,-0.184711 0.600144 -0.76077 -0.164128,4.196392 -6.476384 4.345078,0.120531 0.106181 0.220716 0.96202,-1.208435 7.376481 13.204528,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,0.164404 0.083829 -0.974734 0.125845,-0.767662 -13.997141 -1.419531,0.104868 0.050755 -0.983893 -0.135578,1.263376 -5.61965 11.119528,NaN NaN NaN NaN,NaN NaN NaN,-0.134575 0.687403 0.236992 0.673202,-2.039134 -15.648083 8.076235,0.704527 -0.451825 -0.456589 -0.301698,-49.572988 15.776096 4.965528,0.013392 0.52704 0.550552 0.647257,-8.44596 9.865057 3.17368,-0.006753 -0.716739 -0.14885 0.681237,11.567724 -0.288144 -3.626001,-0.56784 -0.538442 -0.487561 0.387198,10.356928 -2.294397 2.126171,0.474381 0.275398 -0.827851 -0.117396,-6.085183 -3.745576 5.392323
0.67451 0.0399 0.052973 0.735281,8.479226 10.875569 -1.945948,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,-0.468063 -0.4569 -0.566754 0.500949,8.20655 0.168316 -1.154235,NaN NaN NaN NaN,NaN NaN NaN,-0.254492 0.260315 0.605405 0.707782,-0.559623 -2.169888 6.511056,NaN NaN NaN NaN,NaN NaN NaN,-0.190592 0.594466 -0.765026 -0.158177,6.958831 -4.738691 3.771914,0.102801 0.106461 0.224511 0.963168,-3.492065 5.145329 11.447687,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,0.166201 0.007075 -0.980284 0.106633,-10.283884 -4.894042 13.127591,0.10372 0.033275 -0.984675 -0.136197,-0.696948 -2.529891 9.924949,NaN NaN NaN NaN,NaN NaN NaN,-0.09613 0.708773 0.183408 0.67436,-12.306832 -0.269627 -10.619017,0.677783 -0.393158 -0.555282 -0.278746,-16.475933 10.401355 -6.101836,0.014012 0.526683 0.551645 0.646603,-5.844141 9.182075 3.724416,-0.027642 -0.713458 -0.164473 0.68056,11.911738 -7.725578 -1.68158,-0.56965 -0.531176 -0.494026 0.386379,7.608946 -9.801393 -2.878204,0.474524 0.27631 -0.827383 -0.117969,-6.202993 -4.981284 5.137134
0.670491 0.056721 0.059016 0.737389,-2.237743 22.99202 7.001105,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,-0.480523 -0.440815 -0.579162 0.489236,9.732489 -1.471392 3.863456,NaN NaN NaN NaN,NaN NaN NaN,-0.251624 0.264663 0.604527 0.707945,-3.658017 -1.335274 5.102135,NaN NaN NaN NaN,NaN NaN NaN,-0.193792 0.601107 -0.759476 -0.155921,5.506121 -6.617167 1.5525,0.086982 0.105251 0.22887 0.963833,-4.162912 0.964572 9.510688,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,0.146358 -0.056626 -0.983149 0.093764,-3.173156 4.913724 15.54433,0.103232 0.019135 -0.985425 -0.133847,-2.852408 2.0866 10.862333,NaN NaN NaN NaN,NaN NaN NaN,-0.048093 0.736888 0.123902 0.662821,-30.486026 11.849538 -13.749451,0.687096 -0.346796 -0.59071 -0.242269,-5.067777 -2.43394 7.420209,0.014004 0.526281 0.551815 0.646786,-6.530984 5.350611 5.047214,-0.02966 -0.711089 -0.166661 0.682419,7.74815 -11.904452 -0.795921,-0.561217 -0.55052 -0.471038 0.400108,12.074725 -2.591754 -0.174682,0.475665 0.277902 -0.82619 -0.117996,-7.059115 -5.429117 4.149418
0.654646 0.053421 0.0667 0.75109,-7.079761 14.2159 0.180673,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,-0.484978 -0.43055 -0.585243 0.486738,11.474864 -4.023711 3.13221,NaN NaN NaN NaN,NaN NaN NaN,-0.249626 0.271174 0.601936 0.708396,-7.756029 0.739229 5.02574,NaN NaN NaN NaN,NaN NaN NaN,-0.194086 0.602963 -0.757943 -0.155851,3.763269 -7.168478 1.028508,0.080079 0.104344 0.232282 0.963714,-2.232418 -0.733843 9.16904,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,0.155217 -0.052975 -0.981709 0.096688,1.27269 8.639605 9.715712,0.103266 0.013188 -0.986068 -0.129742,-1.334987 2.527233 11.036122,NaN NaN NaN NaN,NaN NaN NaN,-0.042717 0.720687 0.11923 0.681593,-16.551588 25.461589 3.366412,0.690227 -0.349765 -0.587125 -0.237772,-12.440001 -12.807092 -7.61029,0.014298 0.526862 0.551494 0.64658,-6.438736 5.587253 4.760119,-0.006409 -0.715994 -0.141853 0.683512,7.705959 -2.075571 -0.853215,-0.541425 -0.56581 -0.452816 0.426235,9.077779 3.417609 -2.490937,0.476332 0.279051 -0.825422 -0.117972,-7.46718 -6.213537 3.121496
0.647194 0.049247 0.072788 0.757242,-6.483856 8.59345 1.36596,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,-0.475225 -0.437705 -0.578623 0.497767,10.16807 -1.014323 0.321159,NaN NaN NaN NaN,NaN NaN NaN,-0.24809 0.273396 0.600137 0.709607,-11.482768 2.00482 6.983532,NaN NaN NaN NaN,NaN NaN NaN,-0.193368 0.602742 -0.758333 -0.155697,3.141156 -7.0002 3.479168,0.083932 0.104941 0.2343 0.962832,-1.853121 -0.536069 9.296638,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,0.166631 -0.006598 -0.980485 0.104117,-2.929552 3.767775 6.66642,0.106195 0.019666 -0.986334 -0.124425,-1.019306 1.968083 11.119491,NaN NaN NaN NaN,NaN NaN NaN,-0.062004 0.720534 0.138124 0.676689,-1.488084 16.989665 -9.255089,0.668898 -0.392257 -0.562223 -0.287429,-9.273054 -1.409675 -2.635467,0.014746 0.527709 0.551261 0.646079,-6.496 6.255295 4.130656,0.009699 -0.719755 -0.119904 0.683726,9.527189 5.817383 -0.449845,-0.542359 -0.565941 -0.452133 0.425598,8.789399 6.946774 -0.956373,0.476188 0.279016 -0.82554 -0.117812,-7.346562 -6.461606 3.013213
